RF00027 MIPF0000002
RF00047 MIPF0000049
RF00052 MIPF0000303
RF00053 MIPF0000022
RF00073 MIPF0000008
RF00074 MIPF0000009
RF00075 MIPF0000004
RF00076 MIPF0000007
RF00104 MIPF0000033
RF00241 MIPF0000019
RF00244 MIPF0000043
RF00245 MIPF0000011
RF00246 MIPF0000028
RF00247 MIPF0000032
RF00251 MIPF0000044
RF00253 MIPF0000046
RF00254 MIPF0000006
RF00255 MIPF0000026
RF00256 MIPF0000031
RF00257 MIPF0000055
RF00258 MIPF0000034
RF00363 MIPF0000325
RF00637 MIPF0000124
RF00638 MIPF0000010
RF00639 MIPF0000020
RF00640 MIPF0000023
RF00641 MIPF0000018
RF00642 MIPF0000027
RF00643 MIPF0000030
RF00644 MIPF0000036
RF00645 MIPF0000037
RF00646 MIPF0000042
RF00647 MIPF0000045
RF00648 MIPF0000047
RF00649 MIPF0000048
RF00650 MIPF0000050
RF00651 MIPF0000051
RF00652 MIPF0000052
RF00653 MIPF0000053
RF00654 MIPF0000054
RF00655 MIPF0000057
RF00656 MIPF0000058
RF00657 MIPF0000059
RF00658 MIPF0000060
RF00659 MIPF0000061
RF00660 MIPF0000062
RF00661 MIPF0000064
RF00662 MIPF0000065
RF00663 MIPF0000066
RF00664 MIPF0000067
RF00665 MIPF0000068
RF00666 MIPF0000069
RF00667 MIPF0000070
RF00668 MIPF0000071
RF00669 MIPF0000072
RF00670 MIPF0000074
RF00671 MIPF0000075
RF00672 MIPF0000076
RF00673 MIPF0000077
RF00674 MIPF0000078
RF00675 MIPF0000079
RF00676 MIPF0000080
RF00677 MIPF0000081
RF00678 MIPF0000085
RF00679 MIPF0000086
RF00680 MIPF0000088
RF00681 MIPF0000090
RF00682 MIPF0000093
RF00683 MIPF0000094
RF00684 MIPF0000095
RF00685 MIPF0000096
RF00686 MIPF0000097
RF00687 MIPF0000099
RF00688 MIPF0000100
RF00689 MIPF0000101
RF00690 MIPF0000102
RF00691 MIPF0000103
RF00692 MIPF0000104
RF00693 MIPF0000105
RF00694 MIPF0000106
RF00695 MIPF0000107
RF00696 MIPF0000108
RF00697 MIPF0000109
RF00698 MIPF0000111
RF00699 MIPF0000112
RF00700 MIPF0000114
RF00701 MIPF0000115
RF00702 MIPF0000116
RF00703 MIPF0000117
RF00704 MIPF0000120
RF00705 MIPF0000121
RF00706 MIPF0000122
RF00707 MIPF0000123
RF00708 MIPF0000128
RF00709 MIPF0000129
RF00710 MIPF0000132
RF00711 MIPF0000133
RF00712 MIPF0000134
RF00713 MIPF0000135
RF00714 MIPF0000136
RF00715 MIPF0000137
RF00716 MIPF0000140
RF00717 MIPF0000141
RF00718 MIPF0000142
RF00719 MIPF0000143
RF00720 MIPF0000144
RF00721 MIPF0000145
RF00722 MIPF0000148
RF00723 MIPF0000149
RF00724 MIPF0000150
RF00725 MIPF0000151
RF00726 MIPF0000152
RF00727 MIPF0000153
RF00728 MIPF0000154
RF00729 MIPF0000155
RF00730 MIPF0000156
RF00731 MIPF0000157
RF00732 MIPF0000158
RF00733 MIPF0000159
RF00734 MIPF0000160
RF00735 MIPF0000162
RF00736 MIPF0000163
RF00737 MIPF0000164
RF00739 MIPF0000166
RF00740 MIPF0000167
RF00741 MIPF0000168
RF00742 MIPF0000169
RF00743 MIPF0000171
RF00744 MIPF0000172
RF00745 MIPF0000173
RF00746 MIPF0000174
RF00747 MIPF0000175
RF00748 MIPF0000177
RF00749 MIPF0000178
RF00750 MIPF0000179
RF00751 MIPF0000181
RF00752 MIPF0000182
RF00753 MIPF0000183
RF00754 MIPF0000184
RF00755 MIPF0000185
RF00756 MIPF0000186
RF00757 MIPF0000187
RF00758 MIPF0000188
RF00760 MIPF0000190
RF00761 MIPF0000191
RF00762 MIPF0000192
RF00763 MIPF0000193
RF00764 MIPF0000194
RF00765 MIPF0000195
RF00766 MIPF0000196
RF00767 MIPF0000197
RF00768 MIPF0000198
RF00769 MIPF0000199
RF00770 MIPF0000200
RF00771 MIPF0000202
RF00772 MIPF0000203
RF00773 MIPF0000206
RF00774 MIPF0000210
RF00775 MIPF0000211
RF00776 MIPF0000212
RF00777 MIPF0000213
RF00778 MIPF0000214
RF00779 MIPF0000215
RF00780 MIPF0000216
RF00781 MIPF0000217
RF00782 MIPF0000218
RF00783 MIPF0000219
RF00784 MIPF0000220
RF00785 MIPF0000221
RF00786 MIPF0000222
RF00787 MIPF0000223
RF00788 MIPF0000224
RF00789 MIPF0000225
RF00790 MIPF0000226
RF00791 MIPF0000227
RF00792 MIPF0000229
RF00793 MIPF0000231
RF00794 MIPF0000233
RF00795 MIPF0000234
RF00796 MIPF0000235
RF00797 MIPF0000236
RF00798 MIPF0000237
RF00799 MIPF0000238
RF00800 MIPF0000239
RF00801 MIPF0000240
RF00802 MIPF0000241
RF00803 MIPF0000242
RF00804 MIPF0000243
RF00805 MIPF0000244
RF00806 MIPF0000245
RF00807 MIPF0000246
RF00808 MIPF0000247
RF00809 MIPF0000248
RF00810 MIPF0000249
RF00811 MIPF0000250
RF00812 MIPF0000251
RF00813 MIPF0000252
RF00814 MIPF0000254
RF00815 MIPF0000256
RF00816 MIPF0000257
RF00817 MIPF0000258
RF00818 MIPF0000259
RF00819 MIPF0000260
RF00820 MIPF0000262
RF00821 MIPF0000263
RF00822 MIPF0000264
RF00823 MIPF0000265
RF00824 MIPF0000266
RF00825 MIPF0000267
RF00826 MIPF0000270
RF00827 MIPF0000272
RF00828 MIPF0000273
RF00829 MIPF0000274
RF00830 MIPF0000275
RF00831 MIPF0000276
RF00832 MIPF0000278
RF00833 MIPF0000279
RF00834 MIPF0000280
RF00835 MIPF0000282
RF00836 MIPF0000283
RF00837 MIPF0000284
RF00838 MIPF0000285
RF00839 MIPF0000287
RF00840 MIPF0000288
RF00841 MIPF0000289
RF00842 MIPF0000290
RF00843 MIPF0000292
RF00844 MIPF0000293
RF00845 MIPF0000294
RF00846 MIPF0000295
RF00847 MIPF0000296
RF00848 MIPF0000297
RF00849 MIPF0000298
RF00850 MIPF0000299
RF00851 MIPF0000306
RF00852 MIPF0000307
RF00853 MIPF0000308
RF00854 MIPF0000309
RF00855 MIPF0000310
RF00856 MIPF0000311
RF00857 MIPF0000312
RF00858 MIPF0000313
RF00859 MIPF0000315
RF00861 MIPF0000318
RF00862 MIPF0000319
RF00863 MIPF0000321
RF00864 MIPF0000322
RF00865 MIPF0000323
RF00866 MIPF0000324
RF00867 MIPF0000326
RF00868 MIPF0000327
RF00869 MIPF0000328
RF00870 MIPF0000329
RF00872 MIPF0000333
RF00873 MIPF0000334
RF00874 MIPF0000335
RF00875 MIPF0000336
RF00876 MIPF0000337
RF00877 MIPF0000340
RF00878 MIPF0000341
RF00879 MIPF0000342
RF00882 MIPF0000347
RF00883 MIPF0000348
RF00884 MIPF0000349
RF00885 MIPF0000350
RF00886 MIPF0000352
RF00887 MIPF0000353
RF00888 MIPF0000355
RF00890 MIPF0000357
RF00891 MIPF0000358
RF00892 MIPF0000360
RF00893 MIPF0000361
RF00894 MIPF0000362
RF00895 MIPF0000363
RF00896 MIPF0000364
RF00897 MIPF0000365
RF00898 MIPF0000366
RF00899 MIPF0000367
RF00900 MIPF0000368
RF00901 MIPF0000369
RF00902 MIPF0000370
RF00903 MIPF0000371
RF00904 MIPF0000372
RF00905 MIPF0000373
RF00906 MIPF0000382
RF00907 MIPF0000387
RF00908 MIPF0000388
RF00909 MIPF0000389
RF00910 MIPF0000390
RF00911 MIPF0000391
RF00912 MIPF0000392
RF00914 MIPF0000394
RF00915 MIPF0000395
RF00917 MIPF0000397
RF00918 MIPF0000399
RF00919 MIPF0000401
RF00920 MIPF0000402
RF00921 MIPF0000404
RF00922 MIPF0000405
RF00925 MIPF0000414
RF00926 MIPF0000415
RF00927 MIPF0000417
RF00928 MIPF0000418
RF00929 MIPF0000419
RF00931 MIPF0000421
RF00932 MIPF0000423
RF00933 MIPF0000424
RF00934 MIPF0000425
RF00935 MIPF0000430
RF00936 MIPF0000431
RF00937 MIPF0000435
RF00939 MIPF0000437
RF00940 MIPF0000438
RF00941 MIPF0000439
RF00942 MIPF0000440
RF00943 MIPF0000442
RF00945 MIPF0000444
RF00946 MIPF0000445
RF00947 MIPF0000447
RF00948 MIPF0000449
RF00949 MIPF0000450
RF00950 MIPF0000452
RF00951 MIPF0000456
RF00952 MIPF0000457
RF00953 MIPF0000458
RF00954 MIPF0000459
RF00955 MIPF0000460
RF00956 MIPF0000461
RF00957 MIPF0000462
RF00958 MIPF0000463
RF00959 MIPF0000464
RF00960 MIPF0000465
RF00961 MIPF0000466
RF00962 MIPF0000467
RF00963 MIPF0000468
RF00964 MIPF0000469
RF00965 MIPF0000470
RF00966 MIPF0000471
RF00967 MIPF0000472
RF00968 MIPF0000474
RF00969 MIPF0000475
RF00970 MIPF0000476
